ID,Created,Name,Description,Playlist URL
93a935d75413431dbfb3b1c784c974ae,2024-12-29T21:26:27Z,Songs that Capture the ‘90s,All the information is on the task,https://open.spotify.com/playlist/0DVf1GHtILjZZXCuEvu0YD
b1457a06c6b04c758e66f4b1aaf59391,2024-12-29T21:26:27Z,Man vs Man,,https://open.spotify.com/playlist/6oxG1wnUuySh3nRmUTpzQN
75343aef5931489486c1143c6c72370e,2024-12-29T21:26:27Z,I Want Your Sax,,https://open.spotify.com/playlist/10S0Rd7XBYECb8OeT8Wegz
e1a9d62cdb834b33ae85b68e18a527d0,2024-12-29T21:41:35Z,New Music Freeplay,,https://open.spotify.com/playlist/0mCQgd3EZVzO9LdBdoX1ld
