Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:3soLwFvqNYT90pZHSZhmK2,75aaeba84d0d4a42b07bae957a99f791,2025-03-11T15:27:21Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:5FRmsiVS8ybJHQCV0fjuI1,75aaeba84d0d4a42b07bae957a99f791,2025-03-11T15:27:21Z,2,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:5kRBzRZmZTXVg8okC7SJFZ,75aaeba84d0d4a42b07bae957a99f791,2025-03-11T15:27:21Z,-1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:71JQeGqY5S7XX8oFtkALTN,75aaeba84d0d4a42b07bae957a99f791,2025-03-11T15:27:21Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:0g10ndCuaKKaDqUa7gKZMV,75aaeba84d0d4a42b07bae957a99f791,2025-03-11T15:27:21Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:1mcxyECWXsg0lfuMyreNIm,75aaeba84d0d4a42b07bae957a99f791,2025-03-11T15:27:21Z,-1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:2H7B0m7sWRVMDyummRGySV,75aaeba84d0d4a42b07bae957a99f791,2025-03-11T15:27:21Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:2xB6moRYsJcKuFitTNicQW,75aaeba84d0d4a42b07bae957a99f791,2025-03-11T15:27:21Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:3eTwIIekod6vK1D9PEFQ42,75aaeba84d0d4a42b07bae957a99f791,2025-03-11T15:27:21Z,2,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:6JNrZTngsgMzHVxKXAUt4A,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-03-11T17:37:30Z,1,a point for variety as much as anything,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:0g10ndCuaKKaDqUa7gKZMV,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-03-11T17:37:30Z,3,just really liked this song,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:1mcxyECWXsg0lfuMyreNIm,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-03-11T17:37:30Z,0,Kind of great but kind of annoying?,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:1Z1eIcXUNw8X2uAOkJryVb,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-03-11T17:37:30Z,2,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:2KLjcZ67h7Dad8QjW1IvE4,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-03-11T17:37:30Z,2,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:2xB6moRYsJcKuFitTNicQW,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-03-11T17:37:30Z,0,I wish the title was in Yiddish ,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:3soLwFvqNYT90pZHSZhmK2,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-03-11T17:37:30Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:4agp6oHofabdUedr0B1krj,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-03-11T17:37:30Z,-1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:4lJNen4SMTIJMahALc3DcB,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-03-11T17:37:30Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:5jbfC3A4ZfNIxAfWDQV3Vy,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-03-11T17:37:30Z,0,I do like Doug Sahm.,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:5kRBzRZmZTXVg8okC7SJFZ,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-03-11T17:37:30Z,-1,,0e2dde5f7ff24bd599d9eb0c85e37667
