ID,Created,Name,Description,Playlist URL
0e2dde5f7ff24bd599d9eb0c85e37667,2025-03-05T04:46:42Z,The Weather Report,Songs with a weather hook,https://open.spotify.com/playlist/3tZsZ4YEk8IT0RVZZb45MW
dc20c1c43f464a1cad6e035baf81f90d,2025-03-05T04:46:42Z,Smooth Music,,https://open.spotify.com/playlist/06efDqowdWkD0y79RwX4rs
8cd308f7a2b74bbb9be35da10094f060,2025-03-05T04:46:43Z,Friends In Low Places,Songs about dirtbags,https://open.spotify.com/playlist/4BzXZ3QkzBiqnbxPrt4rp0
9b5653cc904e4065b976bb2551a532bd,2025-03-05T04:46:44Z,The Decline of British Seapower,"No US, no Commonwealth artists",https://open.spotify.com/playlist/1m3QrM3E5omBLQUlSHyTrd
80859013833c4dc6ad46da7b88bab734,2025-03-05T04:46:44Z,Soundtrack For A Failed Dinner Party,,https://open.spotify.com/playlist/5lL3VLHOMcL8X4NrLxH25U
d4d8c081676c4c53b31684c8020d054d,2025-03-05T04:49:55Z,Back at the Freeplay Lounge,,https://open.spotify.com/playlist/1ZcEt9IxbN7em4iB2P1sbS
