ID,Created,Name,Description,Playlist URL
308b5c00db194d739c6868b6539ca31d,2025-01-29T01:09:15Z,More Songs About Buildings and Food,Technically our first set of songs about buildings and food,https://open.spotify.com/playlist/6W1MZJ0e1iwfw316J8BGg2
958428fb46e54334809b962d93dfcbec,2025-01-29T01:09:15Z,Dads Rock,Dad rock,https://open.spotify.com/playlist/00gQsDVMim98I1Z9OdRdS8
33533f0403174d939d526b36c82f3137,2025-01-29T01:09:15Z,Salute My Flute,"Piccolos, aerophones, things of that nature",https://open.spotify.com/playlist/3CFwezUgdgQnzmgrB9dfrp
60adf93db1cc437d876e5327a12f3320,2025-01-29T01:09:16Z,Think I’ll Just Stay Here and Drink,Songs about drinking,https://open.spotify.com/playlist/0qL7lLO1xbD4k7aUYXBLVA
e1c5716c0a5749be8bae7ebad8d21580,2025-01-29T01:09:16Z,Freeplay Lounge,"Somebody shot all the neon out of the “New Music” sign, so it can’t bother us anymore",https://open.spotify.com/playlist/5pA9BHVWdG7LpyHKVjSj0n
