Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:01apQz7E72krU1k1b4VWs7,005c1f592f01474a868c991fd8294593,2025-02-02T06:34:35Z,-1,And you should be sorry!,308b5c00db194d739c6868b6539ca31d
spotify:track:6GPanlVhDoOUbJGhKrKSmq,005c1f592f01474a868c991fd8294593,2025-02-02T06:34:35Z,1,,308b5c00db194d739c6868b6539ca31d
spotify:track:69Rdwj1IFqopDXVah0BdEJ,005c1f592f01474a868c991fd8294593,2025-02-02T06:34:35Z,4,,308b5c00db194d739c6868b6539ca31d
spotify:track:4T1168WOWj7Ch7DbbNEFp7,005c1f592f01474a868c991fd8294593,2025-02-02T06:34:35Z,1,,308b5c00db194d739c6868b6539ca31d
spotify:track:4DDGJtDf0sY7qtSUzrFKKW,005c1f592f01474a868c991fd8294593,2025-02-02T06:34:35Z,1,,308b5c00db194d739c6868b6539ca31d
spotify:track:3Q9t1A12iUemHTAWnH7PjD,005c1f592f01474a868c991fd8294593,2025-02-02T06:34:35Z,-1,,308b5c00db194d739c6868b6539ca31d
spotify:track:2nqaQ4WJ5tGTvGfQCvpBWT,005c1f592f01474a868c991fd8294593,2025-02-02T06:34:35Z,1,,308b5c00db194d739c6868b6539ca31d
spotify:track:20RsGWpjJmPe42tyRxReHv,005c1f592f01474a868c991fd8294593,2025-02-02T06:34:35Z,1,Obligatory vote for Tom Waits. I almost went with “what’s he building?”,308b5c00db194d739c6868b6539ca31d
spotify:track:02ISLTUYF5GUjKrL7zvRb9,005c1f592f01474a868c991fd8294593,2025-02-02T06:34:35Z,1,,308b5c00db194d739c6868b6539ca31d
spotify:track:0JIodRVBw63tSUyvH8vXt5,5d5638b12d18438d9e443eb2cda1167c,2025-02-03T15:47:46Z,1,Timely roast of Dylan.,308b5c00db194d739c6868b6539ca31d
spotify:track:02ISLTUYF5GUjKrL7zvRb9,5d5638b12d18438d9e443eb2cda1167c,2025-02-03T15:47:46Z,1,Definitely heard this on some tittsworth/a-trak/diplo/etc. mixes in the late aughts.,308b5c00db194d739c6868b6539ca31d
spotify:track:2M8G64wgcT3rRHbtkmuKD1,5d5638b12d18438d9e443eb2cda1167c,2025-02-03T15:47:46Z,2,Hell yeah I like Bar-B-Q,308b5c00db194d739c6868b6539ca31d
spotify:track:2nqaQ4WJ5tGTvGfQCvpBWT,5d5638b12d18438d9e443eb2cda1167c,2025-02-03T15:47:46Z,2,Fuzz sound good,308b5c00db194d739c6868b6539ca31d
spotify:track:3Q9t1A12iUemHTAWnH7PjD,5d5638b12d18438d9e443eb2cda1167c,2025-02-03T15:47:46Z,2,Silly little song but low key great concept and songwriting,308b5c00db194d739c6868b6539ca31d
spotify:track:5JJRxktdvtSjN3AeITJNCs,5d5638b12d18438d9e443eb2cda1167c,2025-02-03T15:47:46Z,1,,308b5c00db194d739c6868b6539ca31d
spotify:track:5UWcIBGizE1JNnDrXC7L1Q,5d5638b12d18438d9e443eb2cda1167c,2025-02-03T15:47:46Z,-1,,308b5c00db194d739c6868b6539ca31d
spotify:track:5X7YitJlyvOlWtpaxL5A7Q,5d5638b12d18438d9e443eb2cda1167c,2025-02-03T15:47:46Z,1,Bought the album back in 1997 because the singles were great but couldn't get into the album.  Had no idea they released several more acclaimed albums.,308b5c00db194d739c6868b6539ca31d
spotify:track:6f6zWTxfMfB7BtD0RnwffQ,5d5638b12d18438d9e443eb2cda1167c,2025-02-03T15:47:46Z,-1,,308b5c00db194d739c6868b6539ca31d
spotify:track:5HjqXQPZi27d92H5gCo1Oq,75aaeba84d0d4a42b07bae957a99f791,2025-02-04T13:49:11Z,1,,308b5c00db194d739c6868b6539ca31d
spotify:track:5JJRxktdvtSjN3AeITJNCs,75aaeba84d0d4a42b07bae957a99f791,2025-02-04T13:49:11Z,1,I respect meta gaming,308b5c00db194d739c6868b6539ca31d
spotify:track:5UWcIBGizE1JNnDrXC7L1Q,75aaeba84d0d4a42b07bae957a99f791,2025-02-04T13:49:11Z,-1,,308b5c00db194d739c6868b6539ca31d
spotify:track:01apQz7E72krU1k1b4VWs7,75aaeba84d0d4a42b07bae957a99f791,2025-02-04T13:49:11Z,-1,,308b5c00db194d739c6868b6539ca31d
spotify:track:02ISLTUYF5GUjKrL7zvRb9,75aaeba84d0d4a42b07bae957a99f791,2025-02-04T13:49:11Z,2,,308b5c00db194d739c6868b6539ca31d
spotify:track:0X8C8FsBxzyeOxsE20z34M,75aaeba84d0d4a42b07bae957a99f791,2025-02-04T13:49:11Z,4,,308b5c00db194d739c6868b6539ca31d
spotify:track:2M8G64wgcT3rRHbtkmuKD1,75aaeba84d0d4a42b07bae957a99f791,2025-02-04T13:49:11Z,2,,308b5c00db194d739c6868b6539ca31d
spotify:track:2XRwHP0xxXbkPPFj1p5mId,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-02-04T16:47:25Z,1,It's good.,308b5c00db194d739c6868b6539ca31d
spotify:track:2wQBehVdlC4u6gh8i4pHw9,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-02-04T16:47:25Z,2,I know I should listen to him more. Thanks for the reminder.,308b5c00db194d739c6868b6539ca31d
spotify:track:2URDbWGmPz3vhagl25p8OC,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-02-04T16:47:25Z,1,Oh it's David Bowie.,308b5c00db194d739c6868b6539ca31d
spotify:track:2nqaQ4WJ5tGTvGfQCvpBWT,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-02-04T16:47:25Z,0,Is it a food? Yo La Tengo is perhaps my favorite band. Just too familiar to get votes from me this week.,308b5c00db194d739c6868b6539ca31d
spotify:track:20RsGWpjJmPe42tyRxReHv,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-02-04T16:47:25Z,0,I haven't listened to him in years. ,308b5c00db194d739c6868b6539ca31d
spotify:track:02ISLTUYF5GUjKrL7zvRb9,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-02-04T16:47:25Z,1,,308b5c00db194d739c6868b6539ca31d
spotify:track:0X8C8FsBxzyeOxsE20z34M,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-02-04T16:47:25Z,0,Oh it's Steve Earle.,308b5c00db194d739c6868b6539ca31d
spotify:track:0JIodRVBw63tSUyvH8vXt5,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-02-04T16:47:25Z,0,It's good.,308b5c00db194d739c6868b6539ca31d
spotify:track:01apQz7E72krU1k1b4VWs7,53cd0cfc1b654a4ab26e98257d6d6d2d,2025-02-04T16:47:25Z,0,Noah was excited.,308b5c00db194d739c6868b6539ca31d
